,Unnamed: 0,Shoename,Category,Colour,Shoe_Price,CountOfSizes,Color1,Color2,Color3,Color4,Color5,Style_codeProduct_code,Reviews,Size,Comfort,Durability_quality_performance,Star_rating
27,27,Navy Slip-on shoe for men,Navy Slip-on shoe for men,3,1606,3,NAVY,GREY,WHITE,,,FGC0Z7041632A,0,40/41/42,PU,"A must-have for your casual wardrobe, this navy slip-on shoe is never going out of style. The shoe has polyurethane upper, is set on EVA outsole and has rubberized EVA sock insole that adds to the comfort of the shoe.",0
28,28,Navy Slip-on shoes,Navy Slip-on shoes,2,1797,0,NAVY,BLACK,,,,FGC0Y9037602A,0,0,MESH PU,"Engineered for comfort, this navy slip-on shoe frames every step in breathable stability. The slip-on shoe is set on arched heel, rubber & phylon outsole and mesh with foam insole that adds to the comfort. Present on the shoe is side gorings that makes it easy to wear and remove the shoe with comfort.",0
29,29,Navy Casual sneaker for men,Navy Casual sneaker for men,1,3497,0,NAVY,,,,,FGC0DY0T7772A,0,0,SUEDE MESH,"Lightweight, low-top sporty shoes by Woods sports in navy comes in a lace-loop pattern and a wear resistant suede upper. The sneakers are set on a chunky white sole has lugs that gives moderate traction on all surfaces and arched heel that adds to the support. Cushioned ankles and tongue provide support to ankles and protect your feet from lace pressure respectively. Mesh lining on the shoe keeps the shoes ventilated and your feet dry.",0
30,30,Dgrey Slip-on Shoe for Men,Dgrey Slip-on Shoe for Men,2,2096,4,DGREY,BLACK,,,,FGC0Y9039142A,0,40/41/42/44,MESH PU,"Lightweight dgrey slip-on shoe has mesh PU upper that keeps this shoe breathable and is set on a contoured EVA outsole. The slip-on shoe for men features rear pull tab, compression knit collar, and memory foam insole.",0
31,31,Blue/Grey Sneaker for men,Blue/Grey Sneaker for men,3,1677,0,BLUE/GREY,BLUE,BRICK/GREY,,,FGC0Y9032782A,0,0,MESH PU,"Lightweight blue/grey sneakers for men has a lace-up design is crafted out Mesh PU that makes the shoe breathable and ideal for summers. The sneaker by Woodsports is set on rubber/phylon outsole with moderate tread on it, making it ideal for casual walks through cities and parks and the fabric foam insole provides stability and comfort.",0
32,32,Grey Sneakers for Men,Grey Sneakers for Men,1,1500,2,GREY,,,,,FGC0DY0T7782A,0,44/45,SUEDE MESH,"Striking and comfortable sneaker in grey is made from durable suede and has mesh details on it. The lace-up shoes come in a round toe silhouette and are set on a chunky contoured outsole that gives arched heel support. The trendy shoes from woods sports also feature cushioned collars and tongue, pull tabs on rear and cushioned foot bed for comfort.",0
33,33,Black high-top boots for women,Black high-top boots for women,2,3497,0,BLACK,DBLUE,,,,FLC0260T0642A,0,0,SYNTHETIC,"High-top boots from Woodsport stand out with their knit detailing and contrast colour on eyelets. These black high ankle boots feature cushioned tongue that protects foot from lace pressure, knit construction in ankles, D-ring rust free metal eyelets and a comfortable and shock absorbing midsole and an outer sole with deep lugs on it.",0
34,34,Olive/black sneakers for men,Olive/black sneakers for men,1,1500,0,OLIVE/BLACK,,,,,FGC0Y9032092A,0,0,MESH PU,"Trendy pair of casual sneakers in olive and black are chic and comfortable. The modern sneakers feature mesh detail and come in a lace-up style, has round toe silhouette and outsole with lugs on it that gives the shoe an excellent tread. The versatile shoes also have pull tabs on rear, mild cushioning on collar and contrasting color detail with leather accents that adds to the aesthetics of the shoe.",0
35,35,Sand Sports Shoe for men,Sand Sports Shoe for men,4,2500,0,SAND,BLUE,BLACK,BEIGE,,FGC0510S0052A,0,0,SUEDE,"A breathable and compression fit upper adds to the comfort and street-chic style of a sporty sneaker that is set on a durable outsole with moderate traction on it. The sand sporty shoe comes in a suede finish, is set on a chunky sole with arched heel support, pull tabs on rear and Woodsports branding on sides.",0
36,36,Blue sneakers for men,Blue sneakers for men,1,4797,1,BLUE,,,,,FGC0H40U8422A,0,44,FABRIC,"Mid high-top sneakers in blue are made from breathable fabric and come in a lace-up style. The chunky sole is comfortable to wear all day long, cushioned collars and the tongue provide comfort and protect feet from lace pressure.",0
